id,lat,lon,alt,name,tz,utc_offset
KLRJ,42.78,-96.19,368.0,"Le Mars, Le Mars Municipal Airport",America/Chicago,UTC-6
KADS,32.97,-96.83,198.0,Dallas / Addison Airport,America/Chicago,UTC-6
KGEG,47.62,-117.53,715.0,"Spokane, Spokane International Airport",America/Los_Angeles,UTC-8
KSFF,47.69,-117.32,605.0,"Spokane, Felts Field",America/Los_Angeles,UTC-8
KSKA,47.62,-117.65,742.0,Fairchild Air Force Base,America/Los_Angeles,UTC-8
KMSY,29.99,-90.25,2.0,"New Orleans, New Orleans International Airport",America/Chicago,UTC-6
KNBG,29.83,-90.03,1.0,"New Orleans, Naval Air Station - Alvin Callender Field",America/Chicago,UTC-6
KNEW,30.05,-90.03,1.0,"New Orleans, New Orleans Lakefront Airport",America/Chicago,UTC-6
KNTU,36.82,-76.03,5.0,"Virginia Beach, Oceana, Naval Air Station",America/New_York,UTC-5
KORF,36.9,-76.19,5.0,"Norfolk, Norfolk International Airport",America/New_York,UTC-5
KMDQ,34.86,-86.56,218.0,"Huntsville, Madison County Executive Airport",America/Chicago,UTC-6
KHUA,34.68,-86.68,208.0,Redstone Army Air Field,America/Chicago,UTC-6
KHWD,37.66,-122.12,20.0,"Hayward, Hayward Air Terminal",America/Los_Angeles,UTC-8
KPAO,37.47,-122.12,1.0,Palo Alto Airport,America/Los_Angeles,UTC-8
KTYS,35.82,-83.99,299.0,"Knoxville, McGhee Tyson Airport",America/New_York,UTC-5
KDKX,35.97,-83.87,261.0,Knoxville Downtown,America/New_York,UTC-5
KDFW,32.9,-97.02,167.0,"Dallas / Fort Worth, Dallas / Fort Worth International Airpo",America/Chicago,UTC-6
KRVS,36.04,-95.99,199.0,"Tulsa, Jones Jr. Airport",America/Chicago,UTC-6
KTUL,36.2,-95.89,201.0,"Tulsa, Tulsa International Airport",America/Chicago,UTC-6
KOWP,36.18,-96.15,272.0,William R. Pogue Municipal Airport,America/Chicago,UTC-6
KIAB,37.62,-97.27,410.0,McConnell Air Force Base,America/Chicago,UTC-6
KICT,37.65,-97.43,399.0,"Wichita, Wichita Mid-Continent Airport",America/Chicago,UTC-6
KAAO,37.75,-97.22,426.0,"Wichita, Colonel James Jabara Airport",America/Chicago,UTC-6
KBEC,37.69,-97.21,429.0,Beech Factory Airport,America/Chicago,UTC-6
KFAT,36.78,-119.72,91.0,"Fresno, Fresno Air Terminal",America/Los_Angeles,UTC-8
KGNV,29.69,-82.28,40.0,"Gainesville, Gainesville Regional Airport",America/New_York,UTC-5
KDEC,39.83,-88.87,207.0,"Decatur, Decatur Airport",America/Chicago,UTC-6
KBOI,43.57,-116.24,854.0,"Boise, Boise Air Terminal",America/Denver,UTC-7
KMGM,32.3,-86.41,78.0,"Montgomery, Dannelly Field",America/Chicago,UTC-6
KMXF,32.38,-86.37,46.0,Maxwell Air Force Base / Montgomery,America/Chicago,UTC-6
KCYS,41.16,-104.81,1878.0,"Cheyenne, Cheyenne Airport",America/Denver,UTC-7
KFEW,41.13332,-104.86719,1889.0,WARREN AFB,America/Denver,UTC-7
KDWH,30.07,-95.56,48.0,"Houston, Hooks Memorial Airport",America/Chicago,UTC-6
KIAH,29.99,-95.36,28.0,"Houston, Houston Intercontinental Airport",America/Chicago,UTC-6
KSRQ,27.4,-82.56,7.0,"Sarasota / Bradenton, Sarasota-Bradenton International Airpo",America/New_York,UTC-5
KNYG,38.51,-77.29,3.0,"Quantico, Marine Corps Air Facility",America/New_York,UTC-5
KBTR,30.54,-91.15,18.0,"Baton Rouge, Baton Rouge Metropolitan, Ryan Field",America/Chicago,UTC-6
KRNO,39.48,-119.77,1350.0,"Reno, Reno Tahoe International Airport",America/Los_Angeles,UTC-8
KRTS,39.67,-119.88,1539.0,Reno/stead,America/Los_Angeles,UTC-8
KAUO,32.62,-85.43,229.0,Auburn-Opelika Airport,America/Chicago,UTC-6
KF44,32.16,-95.83,135.0,Athens Muni,America/Chicago,UTC-6
KSMQ,40.62,-74.67,30.0,"Somerville, Somerset Airport",America/New_York,UTC-5
KW63,36.6,-78.57,122.0,Clarksville / Marks,America/New_York,UTC-5
KCXE,36.79,-78.5,153.0,Chase City Municipal Airport,America/New_York,UTC-5
