id,lat,lon,alt,name,tz,search_name,random_group
RJOT,34.22,134.02,194.0,Takamatsu Airport,Asia/Tokyo,Takamatsu Airport,4
RJAH,36.18,140.42,30.0,Hyakuri Ab,Asia/Tokyo,Hyakuri Ab,4
RKPC,33.5,126.5,60.0,Cheju International Airport,Asia/Seoul,Cheju International Airport,4
47098,37.9,127.07,130.0,DONGDUCHEON,Asia/Seoul,DONGDUCHEON,4
RJSK,39.62,140.22,98.0,Akita Airport,Asia/Tokyo,Akita Airport,4
RJBD,33.67,135.35,99.0,Nankishirahama Airport,Asia/Tokyo,Nankishirahama Airport,4
RJAK,36.03,140.2,21.0,Kasumigaura Ab,Asia/Tokyo,Kasumigaura Ab,4
47154,36.12,128.32,48.0,GUMI,Asia/Seoul,GUMI,4
94766,-33.9,151.12,1.0,CANTERBURY RACECOURSE,Australia/Sydney,CANTERBURY RACECOURSE,4
94767,-33.93,151.17,1.0,SYDNEY AIRPORT AMO,Australia/Sydney,SYDNEY AIRPORT AMO,4
94768,-33.85,151.2,40.0,SYDNEY REGIONAL OFFICE,Australia/Sydney,SYDNEY REGIONAL OFFICE,4
95761,-33.83,151.28,25.0,SOUTH HEAD,Australia/Sydney,SOUTH HEAD,4
95765,-33.85,151.07,1.0,HOMEBUSH (OLYMPIC STADIUM),Australia/Sydney,HOMEBUSH (OLYMPIC STADIUM),4
YSSY,-33.95,151.18,6.0,Sydney Airport,Australia/Sydney,Sydney Airport,4
94865,-37.87,144.75,12.0,LAVERTON RAAF,Australia/Sydney,LAVERTON RAAF,4
94866,-37.67,144.83,116.0,MELBOURNE AIRPORT,Australia/Sydney,MELBOURNE AIRPORT,4
95866,-37.73,144.9,100.0,ESSENDON AIRPORT,Australia/Sydney,ESSENDON AIRPORT,4
95874,-37.73,145.1,152.0,VIEWBANK (ARPNSA),Australia/Sydney,VIEWBANK (ARPNSA),4
95936,-37.8256,144.9817,8.0,MELBOURNE (OLYMPIC PARK),Australia/Sydney,MELBOURNE (OLYMPIC PARK),5
YMML,-37.67,144.83,116.0,Melbourne Airport,Australia/Sydney,Melbourne Airport,5
94759,-33.68,151.23,157.0,TERREY HILLS AWS,Australia/Sydney,TERREY HILLS,5
94575,-27.57,153.0,60.0,ARCHERFIELD AIRPORT,Australia/Brisbane,ARCHERFIELD AIRPORT,5
94576,-27.48,153.03,16.0,BRISBANE CENTRAL,Australia/Brisbane,BRISBANE CENTRAL,5
94578,-27.38,153.13,1.0,BRISBANE AERO,Australia/Brisbane,BRISBANE Airport,5
YBBN,-27.38,153.1,2.0,Brisbane Airport M. O,Australia/Brisbane,Brisbane Airport,5
94608,-31.92,115.87,50.0,MOUNT LAWLEY PERTH METRO AWS,Australia/Perth,MOUNT LAWLEY PERTH,5
94609,-32.1,115.88,88.0,JANDAKOT AERO,Australia/Perth,JANDAKOT AERO,5
94610,-31.93,115.97,98.0,PERTH AIRPORT,Australia/Perth,PERTH AIRPORT,5
94614,-31.95,115.77,7.0,SWANBOURNE,Australia/Perth,SWANBOURNE,5
YPPH,-31.93,115.95,90.0,Belmont Perth Airport,Australia/Perth,Belmont Perth Airport,5
YPJT,-32.1,115.88,30.0,Perth Jandakot Airport,Australia/Perth,Perth Jandakot Airport,5
94672,-34.95,138.53,11.0,ADELAIDE AIRPORT,Australia/Adelaide,ADELAIDE AIRPORT,5
95677,-34.78,138.63,49.0,PARAFIELD AIRPORT,Australia/Adelaide,PARAFIELD AIRPORT,5
95678,-34.97,138.7,312.0,MT LOFTY AWS,Australia/Adelaide,MT LOFTY AWS,5
YPAD,-34.93,138.52,7.0,Adelaide Airport,Australia/Adelaide,Adelaide Airport,5
SBMT,-23.52,-46.63,634.0,Marte Civ / Mil,America/Sao_Paulo,Marte Civ / Mil,5
